Nombre;Sexe;Annee;Prenoms;Nombre total cumule par annee
23;F;2004;Elena;23
27;F;2005;Elena;50
33;F;2006;Elena;83
22;F;2011;Elena;216
55;F;2013;Elena;314
10;F;2005;Eléna;16
13;F;2007;Eléna;40
39;F;2006;Eléonore;157
48;F;2008;Eléonore;250
52;F;2009;Eléonore;302
45;F;2012;Eléonore;447
32;F;2014;Eléonore;524
37;F;2017;Éléonore;275
6;M;2014;Elhadj;6
12;F;2006;Elia;36
18;F;2010;Elia;121
14;F;2018;Elia;265
5;F;2007;Eliana;5
7;F;2018;Eliana;66
57;M;2004;Elias;57
68;M;2009;Elias;448
56;M;2013;Elias;701
65;M;2017;Elias;938
34;M;2004;Elie;34
42;M;2006;Elie;110
43;M;2012;Elie;353
30;M;2014;Elie;414
35;M;2017;Elie;524
6;M;2010;Élie;11
9;M;2013;Élie;35
13;M;2016;Élie;81
16;M;2018;Élie;117
5;M;2007;Eliel;5
7;F;2008;Eliette;12
5;F;2009;Elif;12
6;F;2016;Elif;26
13;M;2009;Elijah;45
8;F;2007;Elina;40
14;F;2009;Elina;66
12;F;2018;Eline;133
7;F;2013;Éline;12
14;M;2009;Elio;63
9;M;2015;Elio;141
18;M;2016;Elio;159
6;M;2018;Élio;23
5;F;2009;Eliora;5
23;M;2005;Eliot;60
28;M;2007;Eliot;131
23;M;2010;Eliot;198
20;M;2013;Eliot;262
18;M;2014;Eliot;280
14;M;2015;Eliot;294
14;M;2016;Eliot;308
13;M;2017;Eliot;321
76;M;2007;Eliott;260
78;M;2012;Eliott;616
66;M;2014;Eliott;763
71;F;2006;Elisa;220
65;F;2008;Elisa;355
78;F;2011;Elisa;591
66;F;2013;Elisa;730
6;F;2008;Élisa;6
12;F;2009;Élisa;18
6;F;2010;Élisa;24
13;F;2014;Élisa;70
15;F;2007;Elisabeth;58
12;F;2009;Elisabeth;86
25;F;2010;Elisabeth;111
24;F;2012;Elisabeth;159
18;F;2015;Elisabeth;218
9;M;2008;Ismaïl;29
11;M;2009;Ismaïl;40
11;M;2010;Ismaïl;51
5;F;2007;Isra;17
11;F;2012;Isra;53
9;F;2014;Isra;78
9;F;2017;Isra;110
5;M;2009;Israel;5
17;M;2006;Issa;57
34;M;2014;Issa;260
39;M;2017;Issa;373
5;M;2004;Issam;5
15;M;2006;Issam;27
11;M;2008;Issam;45
9;M;2009;Issam;54
10;M;2010;Issam;64
7;M;2015;Issam;108
11;M;2017;Issam;131
18;M;2007;Ivan;62
17;M;2009;Ivan;91
6;F;2015;Ivy;6
5;M;2007;Iwan;5
5;M;2012;Iwan;10
10;M;2011;Iyad;29
14;M;2012;Iyad;43
15;M;2016;Iyed;92
13;M;2017;Iyed;105
17;M;2018;Iyed;122
7;F;2013;Izia;25
14;F;2018;Izia;82
10;M;2007;Jack;27
7;M;2013;Jack;54
9;M;2014;Jack;63
6;M;2005;Jacob;6
7;M;2008;Jacob;19
5;M;2010;Jacob;29
11;M;2013;Jacob;50
14;M;2004;Jacques;14
20;M;2009;Jacques;113
18;M;2010;Jacques;131
27;M;2011;Jacques;158
26;M;2013;Jacques;209
9;M;2005;Jad;20
8;M;2012;Jad;101
19;M;2017;Jad;206
142;F;2010;Jade;942
114;F;2015;Jade;1550
5;M;2009;Jaden;11
10;M;2014;Jaden;53
9;M;2010;Jalil;15
11;M;2012;Jalil;26
13;M;2009;James;93
15;M;2012;James;142
39;M;2013;James;181
5;M;2018;Jamil;10
17;F;2008;Jana;38
10;F;2009;Jana;48
38;F;2018;Jana;222
5;F;2008;Jane;11
9;F;2016;Jane;39
10;F;2018;Jane;56
5;F;2016;Janelle;12
8;F;2009;Janna;34
8;F;2011;Janna;53
11;F;2012;Janna;64
16;F;2013;Janna;80
5;F;2013;Jannah;5
8;M;2004;Jarod;8
29;F;2008;Jasmine;112
9;M;2008;Jason;53
8;M;2014;Jason;109
8;M;2013;Jassim;8
6;M;2016;Jassim;14
5;M;2009;Jayden;5
28;M;2017;Jayden;132
61;M;2007;Jean;255
73;M;2009;Jean;404
28;M;2005;Jean-Baptiste;50
7;M;2016;Jean-Baptiste;164
5;M;2006;Jean-Christophe;5
5;M;2006;Jean-David;5
5;M;2006;Jean-Luc;5
155;F;2004;Jeanne;155
192;F;2007;Jeanne;685
197;F;2011;Jeanne;1421
5;F;2012;Jehanne;5
6;F;2005;Jenna;6
16;F;2013;Jenna;101
20;F;2018;Jenna;204
11;F;2014;Jennah;19
13;F;2015;Jennah;32
10;F;2004;Jennifer;10
7;F;2005;Jennifer;17
7;F;2005;Jenny;7
11;M;2011;Jérémie;142
6;M;2017;Jérémie;199
5;M;2010;Jeremy;30
12;M;2011;Jérémy;219
9;M;2015;Jérémy;266
29;F;2004;Jessica;29
27;F;2015;Gabriella;101
51;F;2004;Gabrielle;51
97;F;2006;Gabrielle;215
107;F;2010;Gabrielle;598
108;F;2011;Gabrielle;706
96;F;2015;Gabrielle;1099
119;F;2018;Gabrielle;1433
16;M;2014;Gaël;184
17;M;2016;Gaël;216
8;F;2005;Gaëlle;19
9;F;2012;Gaëlle;48
5;F;2013;Gaëlle;53
12;M;2006;Gaétan;32
6;M;2007;Gaétan;38
10;M;2015;Gaétan;81
11;M;2006;Gaëtan;37
7;M;2018;Gaëtan;160
9;F;2015;Gaia;15
6;F;2010;Gaïa;54
10;F;2013;Gaïa;75
12;F;2015;Gaïa;96
54;F;2010;Garance;361
61;F;2015;Garance;635
5;M;2004;Gary;5
7;M;2006;Gary;17
14;M;2015;Gary;55
10;M;2018;Gary;83
9;M;2005;Gaspar;9
8;M;2006;Gaspar;17
13;M;2007;Gaspar;30
5;M;2016;Gaspar;66
145;M;2008;Gaspard;611
139;M;2014;Gaspard;1471
165;M;2015;Gaspard;1636
